Time, Temperature(C), Prev. Hrs. Energy consumption (W-hr), Voltage (volts), Current (amps), Average Energy till now (W-hr), Energy Consumption Estimated for Current Hr. (W-hr)
17, 23.6892, 94.8972, 223.514, 15.5775, 210.777, 3793.99
18, 20.0977, 3793.99, 234.786, 9.9544, 323.232, 2347.42
19, 35.4932, 2347.42, 226.171, 16.2007, 513.139, 4121.37
20, 30.0674, 4121.37, 235.361, 19.4694, 767.139, 5847.13
21, 35.4516, 5847.13, 221.716, 13.277, 866.749, 2958.56
22, 26.3696, 2958.56, 236.104, 9.48944, 915.056, 1977.82
23, 27.3614, 1977.82, 221.945, 13.1949, 986.566, 2631.28
0, 39.5036, 2631.28, 230.525, 18.5628, 6408.98, 6408.98
1, 27.9327, 6408.98, 233.337, 15.2251, 4860.33, 3311.68
2, 24.914, 3311.68, 228.856, 17.2528, 4427.17, 3560.84
3, 25.488, 3560.84, 234.113, 11.6982, 4047.28, 2907.63
4, 24.4004, 2907.63, 233.372, 15.2053, 3933.64, 3479.07
5, 39.5111, 3479.07, 222.81, 14.0505, 4015.97, 4427.64
6, 25.843, 4427.64, 223.055, 10.1278, 3762.71, 2243.09
7, 37.2038, 2243.09, 232.693, 11.263, 3662.99, 2965.01
8, 29.5355, 2965.01, 221.955, 18.6272, 3647.22, 3521.06
9, 28.7829, 3521.06, 233.572, 19.5856, 3689.44, 4069.41
10, 39.3514, 4069.41, 235.993, 8.46032, 3620.23, 2928.06
11, 34.9779, 2928.06, 222.408, 17.0136, 3699.92, 4576.6
12, 37.2892, 4576.6, 229.962, 10.5309, 3619.34, 2652.34
13, 25.1352, 2652.34, 233.752, 14.0121, 3576.02, 3012.89
14, 26.9384, 3012.89, 226.368, 6.75594, 3430.77, 1397.2
15, 26.6907, 1397.2, 231.035, 17.5585, 3434.34, 3487.94
16, 20.589, 3487.94, 237.009, 13.4621, 3377.14, 2462
17, 33.0242, 2462, 234.471, 6.18833, 3285.02, 1718.94
18, 23.3479, 1718.94, 237.23, 10.1022, 3219.45, 2039.23
19, 31.1306, 2039.23, 231.373, 15.6478, 3218.54, 3201.11
20, 36.1737, 3201.11, 238.76, 5.47143, 3151.4, 1808.69
21, 25.7671, 1808.69, 234.283, 11.0466, 3096.45, 1942.53
22, 21.9923, 1942.53, 225.89, 19.451, 3085.8, 2851.37
23, 33.8886, 2851.37, 222.115, 19.9858, 3167.79, 5053.68
0, 39.6478, 5053.68, 227.569, 19.5953, 6283.43, 6283.43
1, 38.0695, 6283.43, 227.942, 8.53628, 4489.44, 2695.45
2, 29.0054, 2695.45, 226.993, 10.9127, 3663.74, 2012.33
3, 31.5004, 2012.33, 234.713, 17.0774, 3809.56, 4247.04
4, 36.6481, 4247.04, 226.865, 17.1179, 3830.7, 3915.26
5, 24.3412, 3915.26, 230.8, 11.9436, 3613.94, 2530.1
6, 35.5944, 2530.1, 221.556, 5.8697, 3339.82, 1695.14
7, 37.6886, 1695.14, 231.619, 9.89985, 3277.12, 2838.2
8, 30.9097, 2838.2, 236.533, 15.7725, 3283.26, 3332.4
9, 26.7547, 3332.4, 235.212, 13.0589, 3239.27, 2843.33
