Timestamp, Temperature (Celsius), Power Input (Watts), Current Input (Amperes), Voltage (Volts)
1696072551, 30.2267, 3523.4, 10.1941, 226.688
1696076151, 23.5432, 2083.02, 8.76542, 232.851
1696079751, 30.6099, 2180.63, 12.7865, 208.869
1696083351, 21.4168, 1539.37, 10.1148, 220.891
1696086951, 24.7011, 3496.09, 12.9848, 248.062
1696090551, 28.459, 4627.01, 14.0912, 237.245
1696094151, 29.6284, 3044.7, 9.74863, 239.601
1696097751, 23.1772, 3965.95, 11.4712, 231.837
1696101351, 28.7128, 2618.55, 7.46317, 206.217
1696104951, 21.3422, 2069.91, 5.41849, 224.542
1696108551, 30.1257, 4458.24, 10.7237, 236.967
1696112151, 33.7701, 3555.84, 5.41689, 204.187
1696115751, 39.5919, 3228.13, 15.6943, 202.922
1696119351, 21.7492, 1591.45, 5.65694, 233.017
1696122951, 24.1632, 2578.21, 12.4721, 244.358
1696126551, 38.3095, 3705.94, 16.424, 240.025
1696130151, 35.4122, 2736.26, 9.59615, 235.833
1696133751, 39.4259, 1293.3, 6.6434, 222.045
1696137351, 28.0488, 2529.92, 14.703, 236.476
1696140951, 26.806, 3175.42, 8.40231, 220.364
1696144551, 26.6064, 4049.64, 8.90274, 204.805
1696148151, 29.1853, 2411.61, 13.139, 241.515
1696151751, 38.9198, 4048.99, 18.255, 220.736
1696155351, 37.3458, 2537.99, 17.5249, 217.319
1696158951, 21.9169, 3848.97, 17.5211, 201.962
1696162551, 29.17, 4514.5, 5.80228, 202.254
1696166151, 39.7281, 3056.24, 5.77416, 235.337
1696169751, 36.5743, 4771.38, 18.9671, 244.629
1696173351, 38.0038, 3874.76, 16.2517, 245.78
1696176951, 35.7576, 4166.19, 6.8444, 246.311
1696180551, 23.1208, 3356.17, 10.0987, 205.501
1696184151, 34.4451, 3351.29, 8.55948, 213.863
1696187751, 39.096, 1979.57, 17.1097, 215.478
1696191351, 25.564, 2173.31, 15.8423, 226.369
1696194951, 24.0607, 2618.66, 19.1999, 212.25
1696198551, 38.2251, 4247.47, 8.95105, 207.851
1696202151, 22.7624, 1074.69, 7.60248, 211.985
1696205751, 33.3178, 1925.37, 18.4872, 217.775
1696209351, 30.7476, 4781.16, 7.47797, 227.804
1696212951, 34.9656, 2371, 14.0334, 216.691
1696216551, 23.3376, 1531.25, 5.79408, 238.612
1696220151, 31.729, 3745.92, 16.8938, 230.683
1696223751, 22.012, 2476.73, 14.2809, 232.25
1696227351, 22.4644, 3597.28, 6.83149, 204.418
1696230951, 31.5476, 2905.28, 18.9676, 202.125
1696234551, 34.9, 3454.04, 7.17568, 244.356
1696238151, 38.1461, 1085.78, 17.502, 244.054
1696241751, 27.8161, 4670.1, 12.3496, 220.648
1696245351, 24.2341, 3643.68, 5.86558, 247.08
1696248951, 26.2553, 4237.52, 18.4432, 217.625
1696252551, 32.0025, 2370.78, 19.4622, 248.802
1696256151, 25.0501, 2806.4, 19.1706, 212.621
1696259751, 33.7385, 3265.22, 10.0977, 226.577
1696263351, 34.0789, 2643.15, 14.0726, 212.069
