Timestamp,Temperature (Celsius),Appliance Usage (hours),Voltage (Volts),Current (Amps),Power Consumption (Watts)
1696141421,32.8966,8.91986,56.1748,9.51296,975.986
1696145021,32.8474,0.360598,47.0058,13.2383,108.06
1696148621,20.8606,11.2991,54.9321,17.6969,1201.91
1696152221,30.4214,3.6698,54.21,18.1663,450.98
1696155821,37.4183,5.47002,40.2997,10.9519,638.002
1696159421,34.817,7.28129,42.9463,11.7379,782.129
1696163021,31.7164,10.2799,48.9138,19.8508,1097.99
1696166621,36.0511,8.44846,40.1782,7.0607,927.846
1696170221,28.5811,11.3897,51.4237,13.9116,1203.97
1696173821,35.6858,8.94881,43.3247,14.8932,989.881
1696177421,31.8092,1.69271,47.0425,12.8603,223.271
1696181021,36.1866,8.79236,55.6664,14.8999,958.236
1696184621,39.5666,10.2613,46.039,13.7585,1109.13
1696188221,25.7643,8.26227,59.118,16.4468,898.227
1696191821,39.804,3.97473,42.8468,14.0116,447.473
1696195421,26.335,10.8784,57.2448,10.0593,1162.84
1696199021,31.705,3.53812,56.8731,17.1355,427.812
1696202621,35.3609,7.44726,52.23,19.996,838.726
1696206221,21.2537,2.89619,45.9456,10.4608,369.619
1696209821,38.3502,1.74176,47.5173,7.30866,271.176
1696213421,38.5716,1.74513,41.1243,15.8037,273.513
1696217021,28.5123,6.76595,45.5177,18.9443,738.595
1696220621,30.6842,6.36568,53.8237,14.6428,724.568
1696224221,26.6141,6.36027,49.6988,16.4444,703.027
1696227821,24.5958,11.9357,49.3692,16.6686,1265.57
1696231421,29.9837,7.19059,54.8888,19.339,780.059
1696235021,32.4825,8.78811,47.7047,14.7876,933.811
1696238621,29.0689,6.18479,51.4481,14.9166,685.479
1696242221,34.6702,9.71447,44.5021,8.97021,1070.45
1696245821,37.8348,2.26563,50.3421,17.4375,303.563
1696249421,39.133,2.33207,46.9112,16.7701,319.207
1696253021,20.0576,8.73316,49.8379,15.545,947.316
1696256621,22.8348,2.55153,50.0961,16.0969,311.153
1696260221,26.7999,6.43705,42.8315,19.3446,721.705
1696263821,35.6202,8.65011,46.061,16.0076,952.011
1696267421,31.5836,9.72638,59.3323,7.91488,1041.64
1696271021,36.6932,3.99586,57.5451,8.99203,466.586
1696274621,29.2712,0.590369,43.827,14.5666,147.037
1696278221,35.6445,5.5305,49.5053,17.6235,625.05
1696281821,25.1215,2.12916,54.6403,13.551,302.916
